Num,MSE
891,0.225317
892,0.225096
893,0.224876
894,0.224655
895,0.224435
896,0.224215
897,0.223994
898,0.223774
899,0.223554
900,0.223335
901,0.223115
902,0.222895
903,0.222676
904,0.222457
905,0.222237
906,0.222018
907,0.221800
908,0.221581
909,0.221363
910,0.221145
911,0.220926
912,0.220709
913,0.220491
914,0.220274
915,0.220056
916,0.219839
917,0.219623
918,0.219406
919,0.219189
920,0.218973
921,0.218757
922,0.218541
923,0.218326
924,0.218111
925,0.217895
926,0.217680
927,0.217466
928,0.217251
929,0.217037
930,0.216823
931,0.216609
932,0.216396
933,0.216183
934,0.215970
935,0.215757
936,0.215545
937,0.215333
938,0.215121
939,0.214909
940,0.214698
941,0.214487
942,0.214276
943,0.214066
944,0.213856
945,0.213646
946,0.213436
947,0.213227
948,0.213018
949,0.212809
950,0.212600
951,0.212392
952,0.212184
953,0.211976
954,0.211769
955,0.211562
956,0.211355
957,0.211149
958,0.210942
959,0.210737
960,0.210531
961,0.210326
962,0.210121
963,0.209916
964,0.209712
965,0.209508
966,0.209304
967,0.209100
968,0.208897
969,0.208694
970,0.208492
971,0.208290
972,0.208088
973,0.207886
974,0.207685
975,0.207484
976,0.207283
977,0.207083
978,0.206882
979,0.206683
980,0.206483
981,0.206284
982,0.206085
983,0.205887
984,0.205689
985,0.205491
986,0.205293
987,0.205096
988,0.204899
989,0.204702
990,0.204506
991,0.204310
992,0.204114
993,0.203919
994,0.203724
995,0.203529
996,0.203334
997,0.203140
998,0.202946
999,0.202753
1000,0.202560
1001,0.202367
1002,0.202174
1003,0.201982
1004,0.201790
1005,0.201598
1006,0.201407
1007,0.201216
1008,0.201025
1009,0.200835
1010,0.200645
1011,0.200455
1012,0.200265
1013,0.200076
1014,0.199888
1015,0.199699
1016,0.199511
1017,0.199323
1018,0.199135
1019,0.198948
1020,0.198761
1021,0.198574
1022,0.198388
1023,0.198202
1024,0.198016
1025,0.197831
1026,0.197646
1027,0.197461
1028,0.197276
1029,0.197092
1030,0.196908
1031,0.196725
1032,0.196542
1033,0.196358
1034,0.196176
1035,0.195993
